system	current_count	v16_count	delta
ABCC1	2	2	0
ABO	207	207	0
ATP11C	2	2	0
AUG	5	5	0
C4A	7	7	0
C4B	7	7	0
CD36	23	23	0
CD59	8	8	0
CO	11	11	0
CROM	24	24	0
CTL2	5	5	0
DI	25	24	-1
DO	24	24	0
EMM	9	9	0
ER	7	7	0
FORS	6	6	0
FUT2	45	45	0
FY	32	32	0
GATA1	2	2	0
GE	21	21	0
GIL	3	3	0
GLOB	15	15	0
GYPA	24	24	0
GYPB	38	38	0
H	77	77	0
I	14	14	0
IN	6	6	0
JK	81	80	-1
JMH	8	8	0
JR	38	38	0
KANNO	2	2	0
KEL	129	129	0
KLF1	73	73	0
KN	11	11	0
LAN	47	46	-1
LE	62	62	0
LU	37	37	0
LW	6	6	0
MAL	2	2	0
MAM	6	6	0
MNS_HYBRID	44	44	0
OK	4	4	0
P1PK	43	43	0
PEL	5	5	0
RAPH	5	5	0
RHAG	48	48	0
RHC	2	2	0
RHD	447	447	0
RHE	2	2	0
SC	10	10	0
SID	5	5	0
VEL	7	7	0
XG	8	8	0
XK	68	68	0
YT	5	5	0
